Gender, Age, Height, Weight, Head Circumference
boy, 0, 51, 4.4, 35
boy, 1, 55, 4.625, 36
boy, 2, 63, 5.565, 38
boy, 3, 64, 6.3, 38
boy, 4, 66, 7, 40
boy, 5, 67.5, 8, 41
boy, 6, 70, 8.5, 42
boy, 8, 75, 9.1, 44.3
boy, 9, 77, 9.4, 44.5
boy, 12, 78, 10, 46
boy, 14, 80, 10, 45
boy, 16, 81, 11, 45
boy, 25, 87, 13, 46
